time,lat,lon,windspeed,pressure,year,month,day,hour,tid,label
6,19.6,-68.6,30,0,1944,7,13,6,2000,L1
12,20.7,-69.5,30,0,1944,7,13,12,2000,L1
18,21.5,-70.4,30,0,1944,7,13,18,2000,L1
24,22.3,-71.2,35,0,1944,7,14,0,2000,L1
30,23.1,-72,35,0,1944,7,14,6,2000,L1
36,24,-72.8,35,0,1944,7,14,12,2000,L1
42,25.1,-73.5,40,0,1944,7,14,18,2000,L1
48,26.2,-74.1,45,0,1944,7,15,0,2000,L1
54,27.4,-74.6,50,0,1944,7,15,6,2000,L1
60,28.5,-75,55,0,1944,7,15,12,2000,L1
66,29.4,-75.3,55,0,1944,7,15,18,2000,L1
72,30.2,-75.5,60,0,1944,7,16,0,2000,L1
78,30.9,-75.6,65,0,1944,7,16,6,2000,L1
84,31.4,-75.5,65,0,1944,7,16,12,2000,L1
90,31.8,-75.2,65,0,1944,7,16,18,2000,L1
96,32.2,-74.8,70,0,1944,7,17,0,2000,L1
102,32.5,-74.3,70,0,1944,7,17,6,2000,L1
108,32.8,-73.5,70,0,1944,7,17,12,2000,L1
114,33.1,-72.6,70,0,1944,7,17,18,2000,L1
120,33.3,-71.6,65,0,1944,7,18,0,2000,L1
126,33.6,-70.6,65,0,1944,7,18,6,2000,L1
132,34,-69.5,65,0,1944,7,18,12,2000,L1
138,35,-68,60,0,1944,7,18,18,2000,L1
144,36.5,-65.5,60,0,1944,7,19,0,2000,L1
150,38.2,-62.2,60,0,1944,7,19,6,2000,L1
156,40.2,-58.2,60,0,1944,7,19,12,2000,L1
162,42.2,-54,50,0,1944,7,19,18,2000,L1
168,44.2,-49.8,45,0,1944,7,20,0,2000,L1
6,19.3,-83.6,40,0,1944,9,19,6,2007,L1
12,20,-84.2,50,0,1944,9,19,12,2007,L1
18,20.6,-84.9,60,0,1944,9,19,18,2007,L1
24,20.9,-85.6,70,0,1944,9,20,0,2007,L1
30,21,-86.3,70,0,1944,9,20,6,2007,L1
36,21.1,-87.2,60,0,1944,9,20,12,2007,L1
